item_id,part_description,quantity,vehicle_application
1,BOMBA DE VACIO,1,SOLUTO
2,"RADIOS, NO MUESTRA IMAGEN",7,"SONET, RIO, CARENS"
3,RADIADOR,1,SONET
4,RETEN,2,
5,PANTALLA NO MUESTRA RETRO,1,
6,BOCINA,1,
7,VARIADOR TERMICO,1,SONET
8,"SILENCIADOR DE ESCAPE, REPARABLE",1,SPORTAGE
9,EVAPORADOR,,
10,SENSOR DE O2,2,SPORTAGE Y NIRO
11,MOTOR DE ARRANQUE REPARABLE BENDIX,1,SELTOS
12,MOTOR DE VENTILADOR REPARABLE,2,"SELTOS, SONET"
13,"MOTOR LIMPIA PARABRISAS, REPARABLE",2,SELTOS
14,CINTA DE VOLANTA,1,
15,"CONTROL LEVANTA VIDRIOS, LIMPIEZA KIT DE ADMISION SPORTAGE, CVVT,",6,SOLUTO
16,TESADOR HIDRAULICO Y PERNO OCV,13,SPORTAGE
17,"COLUMNA DE DIRECCION, LIGERO RUIDO",8,"SELTOS, SONET"
18,STOP,,
19,"FAROL RH, LINEA AMARILLA",1,SELTOS INDIA
20,"FAROL RH, LINEA AMARILLA",7,SELTOS CHINA
21,"FAROL LH, LINEA AMARILLA",7,SELTOS CHINA
